"","V1","V2","V3","V4"
"data","time","queation head","question body","answer"
"data_i","edited Oct 20 '21 at 20:07","
        Why is processing a sorted array faster than processing an unsorted array?
    ","Here is a piece of C++ code that shows some very peculiar behavior. For some strange reason, sorting the data (before the timed region) miraculously makes the loop almost six times faster.#include <algorithm>#include <ctime>#include <iostream>int main(){    // Generate data    const unsigned arraySize = 32768;    int data[arraySize];    for (unsigned c = 0; c < arraySize; ++c)        data[c] = std::rand() % 256;    // !!! With this, the next loop runs faster.    std::sort(data, data + arraySize);    // Test    clock_t start = clock();    long long sum = 0;    for (unsigned i = 0; i < 100000; ++i)    {        for (unsigned c = 0; c < arraySize; ++c)        {   // Primary loop            if (data[c] >= 128)                sum += data[c];        }    }    double elapsedTime = static_cast<double>(clock()-start) / CLOCKS_PER_SEC;    std::cout << elapsedTime << '\n';    std::cout << ""sum = "" << sum << '\n';}Without std::sort(data, data + arraySize);, the code runs in 11.54 seconds.With the sorted data, the code runs in 1.93 seconds.(Sorting itself takes more time than this one pass over the array, so it's not actually worth doing if we needed to calculate this for an unknown array.)Initially, I thought this might be just a language or compiler anomaly, so I tried Java:import java.util.Arrays;import java.util.Random;public class Main{    public static void main(String[] args)    {        // Generate data        int arraySize = 32768;        int data[] = new int[arraySize];        Random rnd = new Random(0);        for (int c = 0; c < arraySize; ++c)            data[c] = rnd.nextInt() % 256;        // !!! With this, the next loop runs faster        Arrays.sort(data);        // Test        long start = System.nanoTime();        long sum = 0;        for (int i = 0; i < 100000; ++i)        {            for (int c = 0; c < arraySize; ++c)            {   // Primary loop                if (data[c] >= 128)                    sum += data[c];            }        }        System.out.println((System.nanoTime() - start) / 1000000000.0);        System.out.println(""sum = "" + sum);    }}With a similar but less extreme result.My first thought was that sorting brings the data into the cache, but then I thought how silly that was because the array was just generated.What is going on?Why is processing a sorted array faster than processing an unsorted array?The code is summing up some independent terms, so the order should not matter.Related / followup Q&As about the same effect with different / later compilers and options:Why is processing an unsorted array the same speed as processing a sorted array with modern x86-64 clang?gcc optimization flag -O3 makes code slower than -O2","You are a victim of branch prediction fail.What is Branch Prediction?Consider a railroad junction:Image by Mecanismo, via Wikimedia Commons. Used under the CC-By-SA 3.0 license.Now for the sake of argument, suppose this is back in the 1800s - before long-distance or radio communication.You are a blind operator of a junction and you hear a train coming. You have no idea which way it is supposed to go. You stop the train to ask the driver which direction they want. And then you set the switch appropriately.Trains are heavy and have a lot of inertia, so they take forever to start up and slow down.Is there a better way? You guess which direction the train will go!If you guessed right, it continues on.If you guessed wrong, the captain will stop, back up, and yell at you to flip the switch. Then it can restart down the other path.If you guess right every time, the train will never have to stop.If you guess wrong too often, the train will spend a lot of time stopping, backing up, and restarting.Consider an if-statement: At the processor level, it is a branch instruction:You are a processor and you see a branch. You have no idea which way it will go. What do you do? You halt execution and wait until the previous instructions are complete. Then you continue down the correct path.Modern processors are complicated and have long pipelines. This means they take forever to ""warm up"" and ""slow down"".Is there a better way? You guess which direction the branch will go!If you guessed right, you continue executing.If you guessed wrong, you need to flush the pipeline and roll back to the branch. Then you can restart down the other path.If you guess right every time, the execution will never have to stop.If you guess wrong too often, you spend a lot of time stalling, rolling back, and restarting.This is branch prediction. I admit it's not the best analogy since the train could just signal the direction with a flag. But in computers, the processor doesn't know which direction a branch will go until the last moment.How would you strategically guess to minimize the number of times that the train must back up and go down the other path? You look at the past history! If the train goes left 99% of the time, then you guess left. If it alternates, then you alternate your guesses. If it goes one way every three times, you guess the same...In other words, you try to identify a pattern and follow it. This is more or less how branch predictors work.Most applications have well-behaved branches. Therefore, modern branch predictors will typically achieve >90% hit rates. But when faced with unpredictable branches with no recognizable patterns, branch predictors are virtually useless.Further reading: ""Branch predictor"" article on Wikipedia.As hinted from above, the culprit is this if-statement:if (data[c] >= 128)    sum += data[c];Notice that the data is evenly distributed between 0 and 255. When the data is sorted, roughly the first half of the iterations will not enter the if-statement. After that, they will all enter the if-statement.This is very friendly to the branch predictor since the branch consecutively goes the same direction many times. Even a simple saturating counter will correctly predict the branch except for the few iterations after it switches direction.Quick visualization:T = branch takenN = branch not takendata[] = 0, 1, 2, 3, 4, ... 126, 127, 128, 129, 130, ... 250, 251, 252, ...branch = N  N  N  N  N  ...   N    N    T    T    T  ...   T    T    T  ...       = NNNNNNNNNNNN ... NNNNNNNTTTTTTTTT ... TTTTTTTTTT  (easy to predict)However, when the data is completely random, the branch predictor is rendered useless, because it can't predict random data. Thus there will probably be around 50% misprediction (no better than random guessing).data[] = 226, 185, 125, 158, 198, 144, 217, 79, 202, 118,  14, 150, 177, 182, ...branch =   T,   T,   N,   T,   T,   T,   T,  N,   T,   N,   N,   T,   T,   T  ...       = TTNTTTTNTNNTTT ...   (completely random - impossible to predict)What can be done?If the compiler isn't able to optimize the branch into a conditional move, you can try some hacks if you are willing to sacrifice readability for performance.Replace:if (data[c] >= 128)    sum += data[c];with:int t = (data[c] - 128) >> 31;sum += ~t & data[c];This eliminates the branch and replaces it with some bitwise operations.(Note that this hack is not strictly equivalent to the original if-statement. But in this case, it's valid for all the input values of data[].)Benchmarks: Core i7 920 @ 3.5 GHzC++ - Visual Studio 2010 - x64 ReleaseScenarioTime (seconds)Branching - Random data11.777Branching - Sorted data2.352Branchless - Random data2.564Branchless - Sorted data2.587Java - NetBeans 7.1.1 JDK 7 - x64ScenarioTime (seconds)Branching - Random data10.93293813Branching - Sorted data5.643797077Branchless - Random data3.113581453Branchless - Sorted data3.186068823Observations:With the Branch: There is a huge difference between the sorted and unsorted data.With the Hack: There is no difference between sorted and unsorted data.In the C++ case, the hack is actually a tad slower than with the branch when the data is sorted.A general rule of thumb is to avoid data-dependent branching in critical loops (such as in this example).Update:GCC 4.6.1 with -O3 or -ftree-vectorize on x64 is able to generate a conditional move, so there is no difference between the sorted and unsorted data - both are fast.(Or somewhat fast: for the already-sorted case, cmov can be slower especially if GCC puts it on the critical path instead of just add, especially on Intel before Broadwell where cmov has 2 cycle latency: gcc optimization flag -O3 makes code slower than -O2)VC++ 2010 is unable to generate conditional moves for this branch even under /Ox.Intel C++ Compiler (ICC) 11 does something miraculous. It interchanges the two loops, thereby hoisting the unpredictable branch to the outer loop. Not only is it immune to the mispredictions, it's also twice as fast as whatever VC++ and GCC can generate! In other words, ICC took advantage of the test-loop to defeat the benchmark...If you give the Intel compiler the branchless code, it just outright vectorizes it... and is just as fast as with the branch (with the loop interchange).This goes to show that even mature modern compilers can vary wildly in their ability to optimize code..."
"data_i","edited Jul 04 '22 at 23:35","
        How do I undo the most recent local commits in Git?
    ","I accidentally committed the wrong files to Git, but didn't push the commit to the server yet. How do I undo those commits from the local repository?","Undo a commit & redo$ git commit -m ""Something terribly misguided"" # (0: Your Accident)$ git reset HEAD~                              # (1)[ edit files as necessary ]                    # (2)$ git add .                                    # (3)$ git commit -c ORIG_HEAD                      # (4)git reset is the command responsible for the undo. It will undo your last commit while leaving your working tree (the state of your files on disk) untouched. You'll need to add them again before you can commit them again).Make corrections to working tree files.git add anything that you want to include in your new commit.Commit the changes, reusing the old commit message. reset copied the old head to .git/ORIG_HEAD; commit with -c ORIG_HEAD will open an editor, which initially contains the log message from the old commit and allows you to edit it. If you do not need to edit the message, you could use the -C option.Alternatively, to edit the previous commit (or just its commit message), commit --amend will add changes within the current index to the previous commit.To remove (not revert) a commit that has been pushed to the server, rewriting history with git push origin main --force[-with-lease] is necessary. It's almost always a bad idea to use --force; prefer --force-with-lease instead, and as noted in the git manual:You should understand the implications of rewriting history if you [rewrite history] has already been published.Further ReadingYou can use git reflog to determine the SHA-1 for the commit to which you wish to revert. Once you have this value, use the sequence of commands as explained above.HEAD~ is the same as HEAD~1. The article What is the HEAD in git? is helpful if you want to uncommit multiple commits."
"data_i","edited Jul 24 '22 at 23:07","
        How do I delete a Git branch locally and remotely?
    ","Failed Attempts to Delete a Remote Branch:$ git branch -d remotes/origin/bugfixerror: branch 'remotes/origin/bugfix' not found.$ git branch -d origin/bugfixerror: branch 'origin/bugfix' not found.$ git branch -rd origin/bugfixDeleted remote branch origin/bugfix (was 2a14ef7).$ git pushEverything up-to-date$ git pullFrom github.com:gituser/gitproject* [new branch] bugfix -> origin/bugfixAlready up-to-date.How do I properly delete the remotes/origin/bugfix branch both locally and remotely?","Executive Summarygit push -d <remote_name> <branchname>git branch -d <branchname>Note: In most cases, <remote_name> will be origin.Delete Local BranchTo delete the local branch use one of the following:git branch -d <branch_name>git branch -D <branch_name>The -d option is an alias for --delete, which only deletes the branch if it has already been fully merged in its upstream branch.The -D option is an alias for --delete --force, which deletes the branch ""irrespective of its merged status."" [Source: man git-branch]As of Git v2.3, git branch -d (delete) learned to honor the -f (force) flag.You will receive an error if you try to delete the currently selected branch.Delete Remote BranchAs of Git v1.7.0, you can delete a remote branch using$ git push <remote_name> --delete <branch_name>which might be easier to remember than$ git push <remote_name> :<branch_name>which was added in Git v1.5.0 ""to delete a remote branch or a tag.""Starting with Git v2.8.0, you can also use git push with the -d option as an alias for --delete. Therefore, the version of Git you have installed will dictate whether you need to use the easier or harder syntax.Delete Remote Branch [Original Answer from 5-Jan-2010]From Chapter 3 of Pro Git by Scott Chacon:Deleting Remote BranchesSuppose you’re done with a remote branch — say, you and your collaborators are finished with a feature and have merged it into your remote’s main branch (or whatever branch your stable code-line is in). You can delete a remote branch using the rather obtuse syntax git push [remotename] :[branch]. If you want to delete your server-fix branch from the server, you run the following:$ git push origin :serverfixTo git@github.com:schacon/simplegit.git - [deleted]         serverfixBoom. No more branches on your server. You may want to dog-ear this page, because you’ll need that command, and you’ll likely forget the syntax. A way to remember this command is by recalling the git push [remotename] [localbranch]:[remotebranch] syntax that we went over a bit earlier. If you leave off the [localbranch] portion, then you’re basically saying, “Take nothing on my side and make it be [remotebranch].”I issued git push origin: bugfix and it worked beautifully. Scott Chacon was right—I will want to dog ear that page (or virtually dog ear by answering this on Stack Overflow).Then you should execute this on other machines# Fetch changes from all remotes and locally delete # remote deleted branches/tags etc# --prune will do the job :-;git fetch --all --pruneto propagate changes."
"data_i","edited Jul 18 '22 at 18:44","
        What is the difference between 'git pull' and 'git fetch'?
    ","What are the differences between git pull and git fetch?","In the simplest terms, git pull does a git fetch followed by a git merge.git fetch updates your remote-tracking branches under refs/remotes/<remote>/. This operation is safe to run at any time since it never changes any of your local branches under refs/heads.git pull brings a local branch up-to-date with its remote version, while also updating your other remote-tracking branches.From the Git documentation for git pull:In its default mode, git pull is shorthand for git fetch followed by git merge FETCH_HEAD."
"data_i","edited Jun 05 '22 at 22:03","
        What does the ""yield"" keyword do?
    ","What is the use of the yield keyword in Python? What does it do?For example, I'm trying to understand this code1:def _get_child_candidates(self, distance, min_dist, max_dist):    if self._leftchild and distance - max_dist < self._median:        yield self._leftchild    if self._rightchild and distance + max_dist >= self._median:        yield self._rightchild  And this is the caller:result, candidates = [], [self]while candidates:    node = candidates.pop()    distance = node._get_dist(obj)    if distance <= max_dist and distance >= min_dist:        result.extend(node._values)    candidates.extend(node._get_child_candidates(distance, min_dist, max_dist))return resultWhat happens when the method _get_child_candidates is called?Is a list returned? A single element? Is it called again? When will subsequent calls stop?1. This piece of code was written by Jochen Schulz (jrschulz), who made a great Python library for metric spaces. This is the link to the complete source: Module mspace.","To understand what yield does, you must understand what generators are. And before you can understand generators, you must understand iterables.IterablesWhen you create a list, you can read its items one by one. Reading its items one by one is called iteration:>>> mylist = [1, 2, 3]>>> for i in mylist:...    print(i)123mylist is an iterable. When you use a list comprehension, you create a list, and so an iterable:>>> mylist = [x*x for x in range(3)]>>> for i in mylist:...    print(i)014Everything you can use ""for... in..."" on is an iterable; lists, strings, files...These iterables are handy because you can read them as much as you wish, but you store all the values in memory and this is not always what you want when you have a lot of values.GeneratorsGenerators are iterators, a kind of iterable you can only iterate over once. Generators do not store all the values in memory, they generate the values on the fly:>>> mygenerator = (x*x for x in range(3))>>> for i in mygenerator:...    print(i)014It is just the same except you used () instead of []. BUT, you cannot perform for i in mygenerator a second time since generators can only be used once: they calculate 0, then forget about it and calculate 1, and end calculating 4, one by one.Yieldyield is a keyword that is used like return, except the function will return a generator.>>> def create_generator():...    mylist = range(3)...    for i in mylist:...        yield i*i...>>> mygenerator = create_generator() # create a generator>>> print(mygenerator) # mygenerator is an object!<generator object create_generator at 0xb7555c34>>>> for i in mygenerator:...     print(i)014Here it's a useless example, but it's handy when you know your function will return a huge set of values that you will only need to read once.To master yield, you must understand that when you call the function, the code you have written in the function body does not run. The function only returns the generator object, this is a bit tricky.Then, your code will continue from where it left off each time for uses the generator.Now the hard part:The first time the for calls the generator object created from your function, it will run the code in your function from the beginning until it hits yield, then it'll return the first value of the loop. Then, each subsequent call will run another iteration of the loop you have written in the function and return the next value. This will continue until the generator is considered empty, which happens when the function runs without hitting yield. That can be because the loop has come to an end, or because you no longer satisfy an ""if/else"".Your code explainedGenerator:# Here you create the method of the node object that will return the generatordef _get_child_candidates(self, distance, min_dist, max_dist):    # Here is the code that will be called each time you use the generator object:    # If there is still a child of the node object on its left    # AND if the distance is ok, return the next child    if self._leftchild and distance - max_dist < self._median:        yield self._leftchild    # If there is still a child of the node object on its right    # AND if the distance is ok, return the next child    if self._rightchild and distance + max_dist >= self._median:        yield self._rightchild    # If the function arrives here, the generator will be considered empty    # there is no more than two values: the left and the right childrenCaller:# Create an empty list and a list with the current object referenceresult, candidates = list(), [self]# Loop on candidates (they contain only one element at the beginning)while candidates:    # Get the last candidate and remove it from the list    node = candidates.pop()    # Get the distance between obj and the candidate    distance = node._get_dist(obj)    # If distance is ok, then you can fill the result    if distance <= max_dist and distance >= min_dist:        result.extend(node._values)    # Add the children of the candidate in the candidate's list    # so the loop will keep running until it will have looked    # at all the children of the children of the children, etc. of the candidate    candidates.extend(node._get_child_candidates(distance, min_dist, max_dist))return resultThis code contains several smart parts:The loop iterates on a list, but the list expands while the loop is being iterated. It's a concise way to go through all these nested data even if it's a bit dangerous since you can end up with an infinite loop. In this case, candidates.extend(node._get_child_candidates(distance, min_dist, max_dist)) exhaust all the values of the generator, but while keeps creating new generator objects which will produce different values from the previous ones since it's not applied on the same node.The extend() method is a list object method that expects an iterable and adds its values to the list.Usually we pass a list to it:>>> a = [1, 2]>>> b = [3, 4]>>> a.extend(b)>>> print(a)[1, 2, 3, 4]But in your code, it gets a generator, which is good because:You don't need to read the values twice.You may have a lot of children and you don't want them all stored in memory.And it works because Python does not care if the argument of a method is a list or not. Python expects iterables so it will work with strings, lists, tuples, and generators! This is called duck typing and is one of the reasons why Python is so cool. But this is another story, for another question...You can stop here, or read a little bit to see an advanced use of a generator:Controlling a generator exhaustion>>> class Bank(): # Let's create a bank, building ATMs...    crisis = False...    def create_atm(self):...        while not self.crisis:...            yield ""$100"">>> hsbc = Bank() # When everything's ok the ATM gives you as much as you want>>> corner_street_atm = hsbc.create_atm()>>> print(corner_street_atm.next())$100>>> print(corner_street_atm.next())$100>>> print([corner_street_atm.next() for cash in range(5)])['$100', '$100', '$100', '$100', '$100']>>> hsbc.crisis = True # Crisis is coming, no more money!>>> print(corner_street_atm.next())<type 'exceptions.StopIteration'>>>> wall_street_atm = hsbc.create_atm() # It's even true for new ATMs>>> print(wall_street_atm.next())<type 'exceptions.StopIteration'>>>> hsbc.crisis = False # The trouble is, even post-crisis the ATM remains empty>>> print(corner_street_atm.next())<type 'exceptions.StopIteration'>>>> brand_new_atm = hsbc.create_atm() # Build a new one to get back in business>>> for cash in brand_new_atm:...    print cash$100$100$100$100$100$100$100$100$100...Note: For Python 3, useprint(corner_street_atm.__next__()) or print(next(corner_street_atm))It can be useful for various things like controlling access to a resource.Itertools, your best friendThe itertools module contains special functions to manipulate iterables. Ever wish to duplicate a generator?Chain two generators? Group values in a nested list with a one-liner? Map / Zip without creating another list?Then just import itertools.An example? Let's see the possible orders of arrival for a four-horse race:>>> horses = [1, 2, 3, 4]>>> races = itertools.permutations(horses)>>> print(races)<itertools.permutations object at 0xb754f1dc>>>> print(list(itertools.permutations(horses)))[(1, 2, 3, 4), (1, 2, 4, 3), (1, 3, 2, 4), (1, 3, 4, 2), (1, 4, 2, 3), (1, 4, 3, 2), (2, 1, 3, 4), (2, 1, 4, 3), (2, 3, 1, 4), (2, 3, 4, 1), (2, 4, 1, 3), (2, 4, 3, 1), (3, 1, 2, 4), (3, 1, 4, 2), (3, 2, 1, 4), (3, 2, 4, 1), (3, 4, 1, 2), (3, 4, 2, 1), (4, 1, 2, 3), (4, 1, 3, 2), (4, 2, 1, 3), (4, 2, 3, 1), (4, 3, 1, 2), (4, 3, 2, 1)]Understanding the inner mechanisms of iterationIteration is a process implying iterables (implementing the __iter__() method) and iterators (implementing the __next__() method).Iterables are any objects you can get an iterator from. Iterators are objects that let you iterate on iterables.There is more about it in this article about how for loops work."
"data_i","edited Aug 29 '22 at 10:22","
        Which JSON content type do I use?
    ","There are many ""standards"" for the JSON content type:application/jsonapplication/x-javascripttext/javascripttext/x-javascripttext/x-jsonWhich one do I use, and where? I assume security and browser support issues are a factor.Related: What MIME type if JSON is being returned by a REST API?","For JSON text:application/jsonThe MIME media type for JSON text is application/json. The default encoding is UTF-8. (Source: RFC 4627)For JSONP (runnable JavaScript) with callback:application/javascriptHere are some blog posts that were mentioned in the relevant comments:Why you shouldn't use text/html for JSONInternet Explorer sometimes has issues with application/jsonA rather complete list of Mimetypes and what to use them forThe official mime type list at IANA from @gnrfan's answer below"
"data_i","edited Mar 28 '22 at 12:14","
        How can I remove a specific item from an array?
    ","How do I remove a specific value from an array? Something like:array.remove(value);  // removes all elements with valueI have to use core JavaScript. Frameworks are not allowed.","Find the index of the array element you want to remove using indexOf, and then remove that index with splice.The splice() method changes the contents of an array by removingexisting elements and/or adding new elements.const array = [2, 5, 9];console.log(array);const index = array.indexOf(5);if (index > -1) { // only splice array when item is found  array.splice(index, 1); // 2nd parameter means remove one item only}// array = [2, 9]console.log(array); The second parameter of splice is the number of elements to remove. Note that splice modifies the array in place and returns a new array containing the elements that have been removed.For the reason of completeness, here are functions. The first function removes only a single occurrence (i.e. removing the first match of 5 from [2,5,9,1,5,8,5]), while the second function removes all occurrences:function removeItemOnce(arr, value) {  var index = arr.indexOf(value);  if (index > -1) {    arr.splice(index, 1);  }  return arr;}function removeItemAll(arr, value) {  var i = 0;  while (i < arr.length) {    if (arr[i] === value) {      arr.splice(i, 1);    } else {      ++i;    }  }  return arr;}// Usageconsole.log(removeItemOnce([2,5,9,1,5,8,5], 5))console.log(removeItemAll([2,5,9,1,5,8,5], 5))In TypeScript, these functions can stay type-safe with a type parameter:function removeItem<T>(arr: Array<T>, value: T): Array<T> {   const index = arr.indexOf(value);  if (index > -1) {    arr.splice(index, 1);  }  return arr;}"
"data_i","edited Jul 25 '22 at 03:51","
        How do I rename a local Git branch?
    ","How do I rename a local branch which has not yet been pushed to a remote repository?Related:Rename master branch for both local and remote Git repositoriesHow do I rename both a Git local and remote branch name?","To rename the current branch:git branch -m <newname>To rename a branch while pointed to any branch:git branch -m <oldname> <newname>-m is short for --move.To push the  local branch and reset the upstream branch:git push origin -u <newname>To delete the  remote branch:git push origin --delete <oldname>To create a git rename alias:git config --global alias.rename 'branch -m'On Windows or another case-insensitive filesystem, use -M if there are only capitalization changes in the name. Otherwise, Git will throw a ""branch already exists"" error.git branch -M <newname>"
"data_i","edited Jul 25 '22 at 02:07","
        How do I undo 'git add' before commit?
    ","I mistakenly added files to Git using the command:git add myfile.txtI have not yet run git commit. How do I undo this so that these changes will not be included in the commit?","Undo git add for uncommitted changes with:git reset <file>That will remove the file from the current index (the ""about to be committed"" list) without changing anything else.To unstage all changes for all files:git resetIn old versions of Git, the above commands are equivalent to git reset HEAD <file> and git reset HEAD respectively, and will fail if HEAD is undefined (because you haven't yet made any commits in your repository) or ambiguous (because you created a branch called HEAD, which is a stupid thing that you shouldn't do). This was changed in Git 1.8.2, though, so in modern versions of Git you can use the commands above even prior to making your first commit:""git reset"" (without options or parameters) used to error out whenyou do not have any commits in your history, but it now gives youan empty index (to match non-existent commit you are not even on).Documentation: git reset"
